nm percentage
501.001001001001 78.72123832842146
501.80180180180184 79.04022525731237
502.6026026026026 79.37641523718864
503.40340340340344 79.683839104038
504.2042042042042 79.92841809538369
505.00500500500505 80.08727931028801
505.8058058058058 80.06631333143854
506.60660660660665 79.90071115783263
507.4074074074074 79.61002433866929
508.20820820820825 79.21840142982012
509.009009009009 78.75565875906041
509.80980980980985 78.26465639618748
510.6106106106106 77.8368577813795
511.41141141141145 77.4893466460835
512.2122122122122 77.25764692650488
513.013013013013 77.14858061527185
513.8138138138138 77.19039207833879
514.6146146146147 77.33434877233955
515.4154154154154 77.5423570778949
516.2162162162163 77.78026574192663
517.017017017017 78.01446645425392
517.8178178178179 78.1791968174507
518.6186186186186 78.23702805775578
519.4194194194195 78.17467225821484
520.2202202202202 77.97574180420979
521.021021021021 77.6251320782207
521.8218218218218 77.11122880291887
522.6226226226227 76.50327876522216
523.4234234234234 75.84935638758574
524.2242242242243 75.18833001000533
525.025025025025 74.56432986584754
525.8258258258259 74.00523500593765
526.6266266266266 73.54187520283305
527.4274274274275 73.22526216719201
528.2282282282282 73.06283293773353
529.0290290290291 73.05681034458027
529.8298298298298 73.24672980755484
530.6306306306307 73.55065870144591
531.4314314314314 73.93597487082891
532.2322322322323 74.36904631678728
533.033033033033 74.80997797502927
533.8338338338339 75.18162467042099
534.6346346346346 75.47005398117201
535.4354354354355 75.64059086205857
536.2362362362362 75.65804441476432
537.0370370370371 75.52914644120095
537.8378378378378 75.21178430571186
538.6386386386387 74.77950642551686
539.4394394394394 74.27320547187266
540.2402402402403 73.71177779174336
541.0410410410411 73.10871586353332
541.8418418418419 72.52131381147866
542.6426426426426 71.97947034651291
543.4434434434435 71.50823080399617
544.2442442442443 71.12078756099035
545.0450450450451 70.82986761218874
545.8458458458458 70.66889623202931
546.6466466466467 70.60539635135507
547.4474474474475 70.61482656744685
548.2482482482483 70.68595908480468
549.049049049049 70.80792691526615
549.8498498498499 70.9434917409901
550.6506506506507 71.0722949649114
551.4514514514515 71.17308618224294
552.2522522522522 71.22889644343128
553.0530530530531 71.22546690843015
553.8538538538539 71.13884194280648
554.6546546546547 70.97279299001733
555.4554554554554 70.74557266974048
556.2562562562563 70.46740244666596
557.0570570570571 70.14916357216264
557.8578578578579 69.80780975062004
558.6586586586586 69.45687061166682
559.4594594594595 69.12362762471497
560.2602602602603 68.81833199779625
561.0610610610611 68.54477044139007
561.8618618618618 68.32103520496815
562.6626626626627 68.14154248587435
563.4634634634635 68.00967018140011
564.2642642642643 67.92062848428853
565.065065065065 67.86145885747963
565.8658658658659 67.83351097883067
566.6666666666667 67.81913392280366
567.4674674674675 67.8019518112466
568.2682682682682 67.77359318001042
569.0690690690691 67.7266186134531
569.86986986987 67.63486860827541
570.6706706706707 67.51108682280613
571.4714714714714 67.34880862134777
572.2722722722723 67.1437633424241
573.0730730730731 66.89608764414383
573.8738738738739 66.61469852810015
574.6746746746746 66.31019616279832
575.4754754754755 65.98090609320393
576.2762762762763 65.64361593803447
577.0770770770771 65.31305308274891
577.8778778778778 65.00206591680544
578.6786786786787 64.70195015322463
579.4794794794796 64.42845112664418
580.2802802802803 64.182946008955
581.081081081081 63.963175130115474
581.8818818818819 63.782144545319696
582.6826826826828 63.62633751667299
583.4834834834835 63.49290664059018
584.2842842842842 63.375807483611034
585.0850850850851 63.26824559133187
585.885885885886 63.17170632833493
586.6866866866867 63.07162902400742
587.4874874874874 62.9585211090909
588.2882882882883 62.83308355535447
589.0890890890892 62.69328359638401
589.8898898898899 62.537140068694285
